,plant,insect_name,damage,min_temp,max_temp,avg_temp,humidity,rain,rain_percentage,humidity_avg
305,Soybean,Bean Leaf Beetle,Stalk tunneling,26,36,31.0,81-80,Low,20,80.5
306,Wheat,Armyworm,Bud/leaf damage,20,38,29.0,66-83,Moderate,50,74.5
307,Sugarcane,Early Shoot Borer,Fruit infestation,25,35,30.0,50-93,High,80,71.5
308,Banana,Aphids,Nut damage/yield loss,22,34,28.0,89-92,High,80,90.5
309,Banana,Weevil Borer,Shoot tunneling,24,37,30.5,71-88,Moderate,50,79.5
310,Soybean,Cutworm,Sap sucking/viruses,26,35,30.5,66-77,High,80,71.5
311,Cotton,Whitefly,Root/stem rot,24,39,31.5,65-92,Moderate,50,78.5
312,Banana,Weevil Borer,Top leaf damage,22,40,31.0,82-95,High,80,88.5
313,Sugarcane,Top Borer,Trunk boring,20,36,28.0,78-86,High,80,82.0
314,Maize,Corn Earworm,Top leaf damage,24,34,29.0,60-89,Low,20,74.5
315,Banana,Panama Wilt (Fusarium),Leaf/frond damage,24,37,30.5,56-84,High,80,70.0
316,Potato,Wireworm,Leaf defoliation,20,39,29.5,62-76,High,80,69.0
317,Banana,Weevil Borer,Sap sucking/hopper burn,24,37,30.5,68-71,Low,20,69.5
318,Coconut,Leaf Eating Caterpillar,Leaf webbing,22,40,31.0,75-87,Moderate,50,81.0
319,Wheat,Hessian Fly,Leaf defoliation,24,36,30.0,72-73,Low,20,72.5
320,Rice,Gall Midge,Root feeding,22,40,31.0,72-93,Moderate,50,82.5
321,Soybean,Soybean Aphid,Root feeding,21,38,29.5,60-91,High,80,75.5
322,Rice,Yellow Stem Borer,Leaf webbing,22,36,29.0,50-79,High,80,64.5
323,Potato,Wireworm,Trunk boring,23,39,31.0,69-85,High,80,77.0
324,Tomato,Whitefly,Leaf webbing,21,38,29.5,63-76,Moderate,50,69.5
325,Wheat,Armyworm,Sap sucking/hopper burn,22,39,30.5,50-90,High,80,70.0
326,Banana,Panama Wilt (Fusarium),Leaf/frond damage,23,36,29.5,56-87,High,80,71.5
327,Coconut,Coconut Eriophyid Mite,Trunk boring,21,37,29.0,71-92,High,80,81.5
328,Potato,Potato Beetle,Leaf defoliation,23,34,28.5,52-80,Low,20,66.0
329,Banana,Panama Wilt (Fusarium),Top leaf damage,23,36,29.5,83-79,High,80,81.0
330,Tomato,Aphids,Root feeding,24,37,30.5,62-83,High,80,72.5
331,Wheat,Aphids,Top leaf damage,22,39,30.5,58-81,Moderate,50,69.5
332,Soybean,Cutworm,Leaf webbing,23,40,31.5,61-86,Moderate,50,73.5
333,Rice,Yellow Stem Borer,Top leaf damage,20,37,28.5,75-89,Moderate,50,82.0
334,Wheat,Aphids,Leaf/frond damage,24,39,31.5,56-73,Moderate,50,64.5
335,Maize,Rootworm,Sap sucking/hopper burn,21,38,29.5,54-95,Low,20,74.5
336,Potato,Cutworm,Stalk tunneling,23,39,31.0,59-94,High,80,76.5
337,Cotton,Aphids,Fruit infestation,22,37,29.5,72-73,High,80,72.5
338,Potato,Wireworm,Top leaf damage,21,35,28.0,86-77,Low,20,81.5
339,Potato,Wireworm,Shoot tunneling,20,34,27.0,57-81,Low,20,69.0
340,Sugarcane,White Grub,Sap sucking/viruses,26,36,31.0,73-73,Low,20,73.0
341,Sugarcane,Early Shoot Borer,Leaf defoliation,25,35,30.0,83-84,Moderate,50,83.5
342,Coconut,Coconut Eriophyid Mite,Fruit infestation,23,37,30.0,86-72,Low,20,79.0
343,Tomato,Leaf Miner,Leaf/frond damage,22,34,28.0,57-71,Low,20,64.0
344,Rice,Yellow Stem Borer,Fruit infestation,22,35,28.5,79-95,Moderate,50,87.0
345,Banana,Panama Wilt (Fusarium),Root feeding,23,34,28.5,55-93,Low,20,74.0
346,Coconut,Leaf Eating Caterpillar,Root feeding,24,39,31.5,88-90,Low,20,89.0
347,Sugarcane,Early Shoot Borer,Leaf webbing,20,37,28.5,71-91,Moderate,50,81.0
348,Wheat,Aphids,Trunk boring,20,36,28.0,86-70,High,80,78.0
349,Coconut,Red Palm Weevil,Fruit infestation,25,35,30.0,64-86,Moderate,50,75.0
350,Cotton,Cotton Leafworm,Sap sucking/viruses,25,38,31.5,90-92,Moderate,50,91.0
351,Tomato,Whitefly,Sap sucking/viruses,24,35,29.5,76-82,Low,20,79.0
352,Banana,Aphids,Root feeding,21,36,28.5,89-94,High,80,91.5
353,Maize,Rootworm,Nut damage/yield loss,23,36,29.5,56-81,High,80,68.5
354,Rice,Gall Midge,Bud/leaf damage,20,35,27.5,71-74,Low,20,72.5
355,Maize,Fall Armyworm,Nut damage/yield loss,23,40,31.5,82-79,Low,20,80.5
356,Banana,Weevil Borer,Sap sucking/hopper burn,24,39,31.5,88-81,Low,20,84.5
357,Sugarcane,Pyrilla,Shoot tunneling,21,36,28.5,83-74,Low,20,78.5
358,Rice,Yellow Stem Borer,Bud/leaf damage,22,39,30.5,83-72,Low,20,77.5
359,Rice,Yellow Stem Borer,Stalk tunneling,22,38,30.0,82-84,High,80,83.0
360,Sugarcane,White Grub,Root/stem rot,24,40,32.0,75-71,Low,20,73.0
361,Coconut,Leaf Eating Caterpillar,Top leaf damage,25,39,32.0,89-85,Moderate,50,87.0
362,Soybean,Corn Earworm,Trunk boring,25,35,30.0,60-90,Low,20,75.0
363,Wheat,Armyworm,Root/stem rot,25,35,30.0,75-75,Low,20,75.0
364,Maize,Corn Earworm,Trunk boring,22,35,28.5,74-94,Moderate,50,84.0
365,Banana,Panama Wilt (Fusarium),Leaf/frond damage,24,35,29.5,64-79,High,80,71.5
366,Coconut,Coconut Eriophyid Mite,Fruit infestation,21,36,28.5,90-78,Low,20,84.0
367,Coconut,Rhinoceros Beetle,Leaf webbing,26,38,32.0,83-91,High,80,87.0
368,Cotton,Cotton Leafworm,Bud/leaf damage,25,39,32.0,79-70,High,80,74.5
369,Coconut,Coconut Eriophyid Mite,Shoot tunneling,22,40,31.0,84-78,Low,20,81.0
370,Rice,Gall Midge,Leaf webbing,21,40,30.5,54-72,Low,20,63.0
371,Maize,Corn Earworm,Shoot tunneling,20,39,29.5,87-92,Moderate,50,89.5
372,Sugarcane,Pyrilla,Stalk tunneling,25,35,30.0,52-81,Moderate,50,66.5
373,Rice,Gall Midge,Fruit infestation,26,37,31.5,65-94,Low,20,79.5
374,Maize,Corn Earworm,Bud/leaf damage,26,37,31.5,74-87,High,80,80.5
375,Maize,Fall Armyworm,Nut damage/yield loss,21,37,29.0,65-89,Moderate,50,77.0
376,Soybean,Corn Earworm,Fruit infestation,24,34,29.0,85-87,Low,20,86.0
377,Coconut,Red Palm Weevil,Leaf webbing,20,35,27.5,71-93,High,80,82.0
378,Rice,Yellow Stem Borer,Shoot tunneling,23,36,29.5,71-83,Moderate,50,77.0
379,Cotton,Whitefly,Sap sucking/hopper burn,24,38,31.0,68-91,Low,20,79.5
380,Rice,Gall Midge,Top leaf damage,26,37,31.5,76-74,Moderate,50,75.0
381,Coconut,Leaf Eating Caterpillar,Nut damage/yield loss,23,35,29.0,73-86,High,80,79.5
382,Cotton,Whitefly,Leaf webbing,26,36,31.0,83-77,High,80,80.0
383,Sugarcane,White Grub,Nut damage/yield loss,21,37,29.0,81-78,High,80,79.5
384,Maize,Fall Armyworm,Nut damage/yield loss,24,36,30.0,80-87,Low,20,83.5
385,Soybean,Bean Leaf Beetle,Sap sucking/viruses,22,40,31.0,88-75,Low,20,81.5
386,Banana,Fruit Fly (Bactrocera),Top leaf damage,20,40,30.0,68-75,Moderate,50,71.5
387,Cotton,Cotton Leafworm,Nut damage/yield loss,23,38,30.5,76-82,Moderate,50,79.0
388,Potato,Cutworm,Shoot tunneling,20,35,27.5,83-94,Low,20,88.5
389,Sugarcane,Pyrilla,Sap sucking/hopper burn,22,40,31.0,66-77,Low,20,71.5
390,Wheat,Aphids,Leaf/frond damage,23,35,29.0,60-74,High,80,67.0
391,Wheat,Armyworm,Fruit infestation,25,38,31.5,55-75,Moderate,50,65.0
392,Potato,Cutworm,Trunk boring,23,34,28.5,71-89,Low,20,80.0
393,Banana,Aphids,Trunk boring,21,39,30.0,87-74,High,80,80.5
394,Potato,Potato Beetle,Nut damage/yield loss,23,34,28.5,62-78,Moderate,50,70.0
395,Banana,Panama Wilt (Fusarium),Nut damage/yield loss,26,40,33.0,84-85,Low,20,84.5
396,Wheat,Aphids,Leaf defoliation,20,40,30.0,83-90,Moderate,50,86.5
397,Coconut,Coconut Eriophyid Mite,Root feeding,22,39,30.5,56-90,Moderate,50,73.0
398,Maize,Fall Armyworm,Leaf defoliation,23,35,29.0,59-94,Moderate,50,76.5
399,Rice,Gall Midge,Sap sucking/viruses,26,38,32.0,56-93,Moderate,50,74.5
400,Wheat,Aphids,Stalk tunneling,23,40,31.5,76-84,High,80,80.0
401,Rice,Brown Plant Hopper,Shoot tunneling,21,37,29.0,55-91,High,80,73.0
402,Wheat,Aphids,Nut damage/yield loss,24,35,29.5,80-84,Moderate,50,82.0
403,Cotton,Cotton Leafworm,Nut damage/yield loss,20,35,27.5,50-80,Low,20,65.0
404,Sugarcane,Pyrilla,Leaf webbing,24,34,29.0,89-73,Moderate,50,81.0
405,Soybean,Corn Earworm,Nut damage/yield loss,26,40,33.0,54-71,Low,20,62.5
406,Sugarcane,White Grub,Leaf/frond damage,23,38,30.5,53-78,High,80,65.5
407,Rice,Leaf Folder,Fruit infestation,25,36,30.5,62-89,High,80,75.5
408,Soybean,Corn Earworm,Fruit infestation,20,40,30.0,71-77,High,80,74.0
409,Soybean,Cutworm,Sap sucking/viruses,22,36,29.0,70-76,High,80,73.0
410,Rice,Gall Midge,Leaf defoliation,22,39,30.5,64-90,Moderate,50,77.0
411,Coconut,Red Palm Weevil,Leaf webbing,22,38,30.0,61-92,High,80,76.5
412,Coconut,Coconut Eriophyid Mite,Leaf/frond damage,26,37,31.5,76-79,Moderate,50,77.5
413,Potato,Potato Beetle,Nut damage/yield loss,21,35,28.0,90-79,High,80,84.5
414,Maize,Rootworm,Fruit infestation,26,34,30.0,80-95,Moderate,50,87.5
415,Banana,Weevil Borer,Stalk tunneling,21,36,28.5,57-71,High,80,64.0
416,Rice,Gall Midge,Root/stem rot,21,37,29.0,50-76,Low,20,63.0
417,Potato,Potato Beetle,Trunk boring,25,40,32.5,54-71,Moderate,50,62.5
418,Banana,Aphids,Stalk tunneling,20,38,29.0,54-93,Moderate,50,73.5
419,Coconut,Leaf Eating Caterpillar,Top leaf damage,24,40,32.0,52-70,Moderate,50,61.0
420,Maize,Stem Borer,Nut damage/yield loss,24,35,29.5,57-91,Moderate,50,74.0
421,Rice,Gall Midge,Stalk tunneling,26,35,30.5,82-84,Low,20,83.0
422,Coconut,Red Palm Weevil,Sap sucking/viruses,25,37,31.0,71-79,High,80,75.0
423,Rice,Yellow Stem Borer,Sap sucking/viruses,23,38,30.5,68-84,Moderate,50,76.0
424,Maize,Rootworm,Leaf defoliation,24,34,29.0,73-93,Moderate,50,83.0
425,Potato,Leafhopper,Root feeding,23,38,30.5,86-90,Low,20,88.0
426,Cotton,Whitefly,Shoot tunneling,22,37,29.5,54-93,High,80,73.5
427,Maize,Stem Borer,Trunk boring,24,36,30.0,80-73,Low,20,76.5
428,Wheat,Armyworm,Root feeding,20,36,28.0,75-71,Low,20,73.0
429,Sugarcane,Pyrilla,Leaf/frond damage,20,36,28.0,58-81,Low,20,69.5
430,Tomato,Tomato Hornworm,Fruit infestation,22,38,30.0,89-72,Moderate,50,80.5
431,Tomato,Leaf Miner,Leaf defoliation,20,38,29.0,89-82,Moderate,50,85.5
432,Cotton,Whitefly,Shoot tunneling,26,36,31.0,59-92,High,80,75.5
433,Potato,Leafhopper,Shoot tunneling,25,36,30.5,72-71,Low,20,71.5
434,Cotton,Pink Bollworm,Top leaf damage,23,39,31.0,52-85,High,80,68.5
435,Sugarcane,White Grub,Top leaf damage,21,36,28.5,75-76,Moderate,50,75.5
436,Coconut,Coconut Eriophyid Mite,Leaf defoliation,26,40,33.0,74-95,Low,20,84.5
437,Rice,Leaf Folder,Leaf/frond damage,25,39,32.0,62-87,Moderate,50,74.5
438,Wheat,Aphids,Root feeding,26,35,30.5,62-78,Moderate,50,70.0
439,Banana,Aphids,Nut damage/yield loss,20,37,28.5,73-74,Low,20,73.5
440,Wheat,Aphids,Leaf webbing,23,36,29.5,74-95,Moderate,50,84.5
441,Coconut,Coconut Eriophyid Mite,Sap sucking/hopper burn,21,38,29.5,85-85,Low,20,85.0
442,Tomato,Aphids,Root/stem rot,26,36,31.0,54-87,High,80,70.5
443,Rice,Leaf Folder,Root/stem rot,24,40,32.0,73-86,High,80,79.5
444,Potato,Cutworm,Leaf defoliation,25,38,31.5,72-91,High,80,81.5
445,Tomato,Aphids,Sap sucking/viruses,25,40,32.5,61-73,High,80,67.0
446,Wheat,Stem Sawfly,Fruit infestation,26,35,30.5,52-75,Low,20,63.5
447,Soybean,Corn Earworm,Sap sucking/hopper burn,24,36,30.0,69-86,Moderate,50,77.5
448,Potato,Wireworm,Nut damage/yield loss,26,40,33.0,81-84,Moderate,50,82.5
449,Potato,Cutworm,Sap sucking/viruses,23,36,29.5,79-94,High,80,86.5
450,Rice,Yellow Stem Borer,Stalk tunneling,20,34,27.0,56-81,Moderate,50,68.5
451,Wheat,Hessian Fly,Leaf webbing,24,34,29.0,54-74,High,80,64.0
452,Cotton,Aphids,Leaf/frond damage,26,35,30.5,68-95,Moderate,50,81.5
453,Tomato,Leaf Miner,Top leaf damage,21,37,29.0,53-88,Low,20,70.5
454,Cotton,Cotton Leafworm,Bud/leaf damage,26,35,30.5,67-79,High,80,73.0
455,Banana,Weevil Borer,Leaf/frond damage,23,36,29.5,90-90,Low,20,90.0
456,Cotton,Aphids,Stalk tunneling,25,40,32.5,53-91,Moderate,50,72.0
457,Maize,Stem Borer,Top leaf damage,23,37,30.0,75-87,High,80,81.0
458,Maize,Stem Borer,Leaf webbing,23,39,31.0,81-74,Moderate,50,77.5
459,Cotton,Aphids,Shoot tunneling,24,36,30.0,55-87,Low,20,71.0
460,Soybean,Bean Leaf Beetle,Leaf/frond damage,24,40,32.0,53-92,Low,20,72.5
461,Wheat,Stem Sawfly,Top leaf damage,20,40,30.0,71-73,High,80,72.0
462,Coconut,Coconut Eriophyid Mite,Leaf/frond damage,21,35,28.0,82-87,Moderate,50,84.5
463,Tomato,Whitefly,Leaf webbing,25,35,30.0,55-84,Moderate,50,69.5
464,Banana,Aphids,Root/stem rot,24,36,30.0,70-73,Low,20,71.5
465,Wheat,Armyworm,Root feeding,26,37,31.5,52-75,Low,20,63.5
466,Wheat,Armyworm,Leaf defoliation,24,35,29.5,86-84,High,80,85.0
467,Banana,Aphids,Root/stem rot,25,35,30.0,71-94,Low,20,82.5
468,Maize,Rootworm,Shoot tunneling,21,34,27.5,62-76,Low,20,69.0
469,Sugarcane,Pyrilla,Fruit infestation,21,39,30.0,85-74,Low,20,79.5
470,Sugarcane,Top Borer,Sap sucking/hopper burn,22,37,29.5,74-73,High,80,73.5
471,Cotton,Pink Bollworm,Fruit infestation,24,39,31.5,79-80,Low,20,79.5
472,Wheat,Hessian Fly,Leaf defoliation,21,37,29.0,59-71,High,80,65.0
473,Sugarcane,Top Borer,Leaf webbing,20,35,27.5,61-89,Moderate,50,75.0
474,Potato,Cutworm,Leaf webbing,24,34,29.0,85-74,High,80,79.5
475,Banana,Weevil Borer,Bud/leaf damage,25,34,29.5,73-76,Moderate,50,74.5
476,Soybean,Cutworm,Shoot tunneling,25,35,30.0,55-87,Low,20,71.0
477,Tomato,Leaf Miner,Bud/leaf damage,22,35,28.5,52-80,Low,20,66.0
478,Cotton,Aphids,Sap sucking/viruses,21,36,28.5,72-90,Moderate,50,81.0
479,Cotton,Whitefly,Root feeding,25,35,30.0,83-80,Low,20,81.5
480,Tomato,Aphids,Leaf webbing,20,35,27.5,66-95,Low,20,80.5
481,Maize,Stem Borer,Stalk tunneling,24,36,30.0,69-80,Moderate,50,74.5
482,Potato,Cutworm,Leaf/frond damage,20,37,28.5,75-72,High,80,73.5
483,Banana,Aphids,Root/stem rot,25,35,30.0,63-89,High,80,76.0
484,Sugarcane,Top Borer,Shoot tunneling,20,40,30.0,72-95,Moderate,50,83.5
485,Wheat,Hessian Fly,Root/stem rot,23,38,30.5,65-93,High,80,79.0
486,Cotton,Cotton Leafworm,Nut damage/yield loss,21,35,28.0,75-84,High,80,79.5
487,Rice,Brown Plant Hopper,Sap sucking/viruses,24,35,29.5,84-79,Moderate,50,81.5
488,Wheat,Armyworm,Trunk boring,24,36,30.0,57-78,Low,20,67.5
489,Banana,Aphids,Bud/leaf damage,24,39,31.5,57-74,Moderate,50,65.5
490,Sugarcane,Top Borer,Leaf defoliation,26,40,33.0,55-79,Moderate,50,67.0
491,Banana,Aphids,Leaf/frond damage,22,36,29.0,66-92,High,80,79.0
492,Potato,Cutworm,Top leaf damage,20,40,30.0,69-70,Low,20,69.5
493,Cotton,Aphids,Leaf webbing,26,35,30.5,56-74,Low,20,65.0
494,Soybean,Soybean Aphid,Leaf/frond damage,22,38,30.0,63-74,High,80,68.5
495,Soybean,Soybean Aphid,Nut damage/yield loss,20,38,29.0,50-70,Low,20,60.0
496,Potato,Cutworm,Shoot tunneling,20,39,29.5,56-80,High,80,68.0
497,Banana,Fruit Fly (Bactrocera),Stalk tunneling,21,37,29.0,90-84,Low,20,87.0
498,Maize,Fall Armyworm,Top leaf damage,26,36,31.0,63-71,Low,20,67.0
499,Rice,Leaf Folder,Nut damage/yield loss,24,36,30.0,79-72,Low,20,75.5
500,Brinjal,Shoot and Fruit Borer,Bores into fruits and shoots,22,36,29.0,60-80,Moderate,50,70.0
501,Brinjal,Jassids,Leaf curling & yellowing,20,35,27.5,50-70,Low,20,60.0
502,Brinjal,Mites,Leaf discoloration,24,38,31.0,40-60,Low,20,50.0
503,Onion,Thrips,Silver streaks on leaves,20,35,27.5,50-70,Low,20,60.0
504,Onion,Stem Borer,Stem tunneling,22,36,29.0,60-80,Moderate,50,70.0
505,Onion,Onion Maggot,Larvae attack roots,18,32,25.0,60-85,Moderate,50,72.5
506,Tomato,Whitefly,"Sap sucking, virus transmission",22,35,28.5,60-80,Moderate,50,70.0
507,Tomato,Leaf Miner,Leaf tunneling,20,35,27.5,50-70,Low,20,60.0
508,Chili,Aphids,"Sap sucking, virus carrier",24,38,31.0,60-80,Moderate,50,70.0
509,Chili,Thrips,Leaf curling and silvering,20,35,27.5,50-70,Low,20,60.0
510,Turmeric,Rhizome Fly,Damage to rhizomes,22,35,28.5,60-80,Moderate,50,70.0
511,Turmeric,Shoot Borer,Shoot wilting,24,38,31.0,70-90,High,80,80.0
512,Sugarcane,Internode Borer,Bores into internodes,24,36,30.0,60-80,Moderate,50,70.0
513,Paddy,Rice Hispa,Leaf scrapping,22,35,28.5,60-80,Moderate,50,70.0
514,Groundnut,Leaf Miner,Leaf tunneling,20,34,27.0,50-70,Low,20,60.0
515,Groundnut,Red Hairy Caterpillar,Leaf defoliation,24,38,31.0,60-85,High,80,72.5
516,Coconut,Black Headed Caterpillar,Leaf defoliation,25,35,30.0,70-90,Moderate,50,80.0
